#	ruleId	bucket	impact	SC	instances	pages	exampleUrl	selector	accessibleName	stratum	verdict
1	color-contrast	needs-review	serious	1.4.3	305	17	https://vuejs.org/examples/	a[href$="examples/#hello-world"] > .link-text	hello world	A	
2	color-contrast	violation	serious	1.4.3	278	2	https://vuejs.org/about/team.html	.member[data-v-481123ff=""]:nth-child(1) > article > .data > .profiles > .desc:nth-child(1) > .desc-list > .desc-item:nth-child(1) > .desc-link[href$="vuejs"][rel="noopener noreferrer"]	vuejs/*	A	
3	link-name	violation	serious	2.4.4, 4.1.2	268	2	https://vuejs.org/about/team.html	a[href="https://github.com/yyx990803"]		A	
4	color-contrast	violation	serious	1.4.3	237	29	https://vuejs.org/guide/introduction.html	.outline-link[href$="#what-is-vue"][data-v-cb6b0d48=""]	what is vue?	A	
5	color-contrast	violation	serious	1.4.3	224	28	https://vuejs.org/guide/introduction.html	p:nth-child(21) > a	ways of using vue	A	
6	color-contrast	violation	serious	1.4.3	152	2	https://vuejs.org/ecosystem/themes.html	.item[data-v-7b2ff495=""]:nth-child(1) > section > .container[data-v-e0de31f6=""] > .products[data-v-e0de31f6=""] > .product[data-v-e0de31f6=""]:nth-child(1) > .ThemeProduct.vt-link[rel="noopener noreferrer"] > article > .data > .title > .description	vue dashboard template with multi-column layout and charts.	A	
7	color-contrast	violation	serious	1.4.3	140	2	https://vuejs.org/about/team.html	.TeamList[data-v-849936c2=""][data-v-481123ff=""]:nth-child(2) > .container[data-v-481123ff=""] > .members[data-v-481123ff=""] > .member[data-v-481123ff=""]:nth-child(1) > article > .data > .org	creator @ vue.js	A	
8	color-contrast	violation	serious	1.4.3	130	10	https://vuejs.org/guide/quick-start.html	a[href$="code.visualstudio.com/"]	visual studio code	A	
9	color-contrast	violation	serious	1.4.3	121	15	https://vuejs.org/guide/introduction.html	.language-template > .lang	template	A	
10	color-contrast	needs-review	serious	1.4.3	113	30	https://vuejs.org/	.VPNavBarMenuGroup.vt-flyout[data-v-4ba22f22=""]:nth-child(2) > .vt-flyout-button[aria-haspopup="true"] > .vt-flyout-button-text	docs	A	
11	color-contrast	violation	serious	1.4.3	95	10	https://vuejs.org/guide/introduction.html	.language-vue:nth-child(32) > pre > code > .line:nth-child(3) > span	// properties returned from data() become reactive state	A	
12	color-contrast	needs-review	serious	1.4.3	78	39	https://vuejs.org/	kbd:nth-child(1)	ctrl	A	
13	target-size	violation	serious	2.5.8	66	2	https://vuejs.org/about/team.html	.TeamList[data-v-849936c2=""][data-v-481123ff=""]:nth-child(2) > .container[data-v-481123ff=""] > .members[data-v-481123ff=""] > .member[data-v-481123ff=""]:nth-child(3) > article > .data > .profiles > .desc:nth-child(1) > .desc-list > .desc-item:nth-child(1) > .desc-link.vt-link[rel="noopener noreferrer"]	vue-devtools	A	
14	color-contrast	violation	serious	1.4.3	65	13	https://vuejs.org/guide/introduction.html	.composition-api:nth-child(9) > .language-js > .lang	js	A	
